Step,Wolves,Wolf Packs,Hunters,Conflict Score,Public Opinion,Current Policy
89,53,7,5,588,High Concern,Decrease Hunter Restrictions
90,54,7,5,558,High Concern,Decrease Hunter Restrictions
91,55,7,5,574,High Concern,Decrease Hunter Restrictions
92,55,7,5,574,High Concern,Decrease Hunter Restrictions
93,55,7,5,574,High Concern,Decrease Hunter Restrictions
94,55,7,5,584,High Concern,Decrease Hunter Restrictions
95,56,7,5,592,High Concern,Decrease Hunter Restrictions
96,55,7,5,592,High Concern,Decrease Hunter Restrictions
97,57,7,5,592,High Concern,Decrease Hunter Restrictions
98,58,7,5,592,High Concern,Decrease Hunter Restrictions
99,57,7,5,592,High Concern,Decrease Hunter Restrictions
